locked_gene_order,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,present_in_original_251,present_in_significant_DEG_table
1,ESR1,-2.74527048390732,1.74723638872538,-25.8667639938073,1.2241239117957199e-79,6.518239664141e-78,170.944232121371,True,True
2,AR,-2.72459491070793,1.85497775744955,-30.0449748098912,3.87809558671836e-94,4.10053206929942e-92,204.297552563951,True,True
3,PGR,-2.34347301020016,1.06762944455925,-28.165459291014,9.89422500408492e-88,7.87442003954135e-86,189.560713088632,True,True
4,THRA,-1.34025035587373,2.97355552791865,-20.3606224801771,3.07126391433366e-59,6.61774668469885e-58,124.016102428744,True,True
5,THRB,-1.98015098567354,1.78327301216871,-31.4924312436522,6.1059677881916596e-99,7.65988484479671e-97,215.343566930689,True,True
6,CAT,-1.86849661197509,5.17482060763911,-19.6651086879911,1.38749383058495e-56,2.6708805167944198e-55,117.909983850708,True,True
7,BCL2,-1.77384371997102,2.28122300823842,-19.5446558822599,4.0102034194203297e-56,7.62041607415649e-55,116.849927513268,True,True
8,BAX,1.26825734722372,3.95954583633111,16.9343016494255,4.3337587165731706e-46,5.32386973289898e-45,93.7808649134385,True,True
9,PARP1,1.1920842365342,3.88524647327272,22.8846429893796,9.5298391171109e-69,3.06009128960071e-67,145.888023088702,True,True
10,IL6,-1.31472311972539,1.51113861708169,-9.9722225417688,1.62826786070807e-20,5.92800028088085e-20,35.1183285214262,True,True
11,ABCB1,-1.53031517458224,1.07843133848221,-26.8523903173201,3.8374482966448396e-83,2.42759603142024e-81,179.004821017878,True,True
12,ABCG2,-1.20796481661351,0.893193441106034,-23.0747792905216,1.87320057234292e-69,6.17572117425216e-68,147.513344930508,True,True
13,FASN,-1.13717024441637,5.63112868901413,-8.67733316351486,2.27251398453004e-16,6.69453224139268e-16,25.6602279284013,True,True
14,SCD,-1.58107078882615,6.35060021232729,-8.13894924734172,9.57869452306005e-15,2.60601755237746e-14,21.9614645787537,True,True
15,TWIST1,-1.13945960613127,2.53667468988938,-9.28474512590321,2.82675060572507e-18,9.15231610160722e-18,30.0043183168471,True,True
16,PPARG,-2.64156777880851,2.27607558264061,-22.0490141274439,1.2634067639112801e-65,3.57594843712787e-64,138.704922495803,True,True
17,EGFR,-1.04803309975599,3.54992515813139,-7.78167577626581,1.05603079739373e-13,2.72247020094381e-13,19.5921119437782,True,True
18,MMP9,2.91305544744228,3.91001083007375,15.2806908310363,9.47170724244026e-40,8.63892065987943e-39,79.2143673724939,True,True
19,JUN,-1.63667998923232,6.17606724728692,-15.5159050360175,1.19837286166325e-40,1.13641982518905e-39,81.2767492036761,True,True
20,FOS,-3.63576906333364,6.03587671340855,-21.4308790906054,2.6816891840099303e-63,6.89184808869773e-62,133.352306874993,True,True
21,ADRB2,-2.45249693399017,1.72401944809627,-28.7006604467076,1.41750041952287e-89,1.2199569017556401e-87,193.802159653887,True,True
22,ERG,-1.64552072379937,1.86297932941901,-25.1697168915369,3.94074829580097e-77,1.8577992682401901e-75,165.174930966922,True,True
23,H2AX,2.12957525273732,4.38677836986658,23.054693010816,2.2240677482398198e-69,7.29997225658406e-68,147.341808830542,True,True
24,MITF,-1.09102213740335,1.75336918764771,-15.1731659064123,2.43360350650261e-39,2.16104575325484e-38,78.2730578445209,True,True
