"gene","source"
"KB","multi-database+pug"
"LC50","multi-database+pug"
"MB","multi-database+pug"
"MEK","multi-database+pug"
"MEL","multi-database+pug"
"MS","multi-database+pug"
"NADPH","multi-database+pug"
"P04637","multi-database+pug"
"Q99700","multi-database+pug"
"R1881","multi-database+pug"
"RXR","multi-database+pug"
"SF","multi-database+pug"
"SNCA","multi-database+pug"
"TMEM16A","multi-database+pug"
"WST","multi-database+pug"
"B2","multi-database+pug"
"BL3","multi-database+pug"
"C4","multi-database+pug"
"CAMBH","multi-database+pug"
"EAL24281","multi-database+pug"
"F32","multi-database+pug"
"GLP","multi-database+pug"
"GTP","multi-database+pug"
"HCT","multi-database+pug"
"HIV","multi-database+pug"
"ID","multi-database+pug"
"M1","multi-database+pug"
"MG1655","multi-database+pug"
"MITF","multi-database+pug"
"OD","multi-database+pug"
"P16152","multi-database+pug"
"PDB","multi-database+pug"
"Q5NGQ3","multi-database+pug"
"Q6UCJ9","multi-database+pug"
"TOR","multi-database+pug"
"UTR","multi-database+pug"
